Facility,State,Agency / Authority,ICE Field Office,System Type,County,Management,"Confirmed Cases
OUTSIDE SOURCES (Detainees)","ACTIVE Confirmed Cases - ICE DATA
(Detainees)",TOTAL Confirmed Cases - ICE DATA (Detainees),Confirmed Cases - OUTSIDE SOURCES (Staff),Confirmed Cases - ICE DATA (Staff),Confirmed Deaths (Detainees),Confirmed Deaths (Staff),Visitation Policy,Last Updated Date,Sources,Additional Notes
Broward Transitional Center,Florida,DHS/ICE,Miami,ICE-dedicated,Broward County,GeoGroup,NA,11,32,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus,"Interesting: In May DHS confirmed that the 16 individuals who tested positive had just been transferred by ICE from Krome to BTC. This came after a judge's order that ICE release hundreds of detainees in South Florida. Some have claimed that ICE has not complied with this order, but rather has moved detainees around."
Glades County Detention Center,Florida,DHS/ICE,Miami,NA,NA,NA,NA,51,116,NA,NA,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus,"DHS is using a 15 minute rapid test (Abbott ID NOW). The test has been scrutinized by the FDA, stating that the test may return false negative results. ICE stated that detainees tested at intake are getting the LabCorp SARS-CoV-2 nucleic amplification assay test."
Krome Detention Center,Florida,DHS/ICE,Miami,ICE-dedicated,Miami-Dade,NA,NA,27,61,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.miamiherald.com/news/local/immigration/article241791511.html; https://www.ice.gov/coronavirus; https://thehill.com/homenews/administration/493896-eight-ice-staffers-at-miami-detention-center-infected-with-covid-19,"In May a judge ordered release of detainees because social distancing is ""practically impossible"" in the facility. Goal was to reduce to 75% within two weeks. https://www.npr.org/sections/coronavirus-live-updates/2020/05/01/848681749/federal-judge-orders-ice-to-release-detainees-at-3-florida-facilities"
Wakulla County Jail,NA,DHS/ICE,Miami,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Adams County Correctional Center,Mississippi,DHS/ICE,New Orleans,Non ICE-dedicated,Adams County,NA,NA,0,35,NA,None reported yet,NA,NA,All social visitation suspended as of 3/13/2020.,2020-06-30T00:00:00Z,https://www.ice.gov/coronavirus,NA
Alexandria Staging Facility,Louisiana,DHS/ICE,New Orleans,ICE-dedicated,Rapides Parish,GeoGroup,NA,31,89,NA,15,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Catahoula Correctional Center,Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Catahoula Parish,NA,NA,59,111,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus,NA
Etowah County Jail (Etowah County Detention Center),Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Etowah County,Etowah County Sheriff's Department,NA,17,18,NA,0,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Jackson Parish Correctional,Louisiana,NA,New Orleans,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,2020-06-26T00:00:00Z,NA,NA
La Salle ICE Processing Center - Olla,Louisiana,DHS/ICE,New Orleans,ICE-dedicated,La Salle Parish (Olla),NA,NA,9,15,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,NA,NA
LaSalle ICE Processing Center - Jena,Louisiana,DHS/ICE,New Orleans,ICE-dedicated,La Salle Parish (Jena),GeoGroup,NA,2,17,NA,2,NA,NA,NA,2020-06-26T00:00:00Z,https://www.ice.gov/coronavirus,Geo Group Response: https://www.geogroup.com/Portals/0/GEO_Coronavirus_Statement.pdf
Pine Prairie ICE Processing Center,Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Evangeline Parish,GeoGroup,NA,1,31,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Richwood Correctional Center,Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Ouachita Parish,LaSalle Corrections,NA,0,65,NA,None reported yet,NA,NA,NA,2020-06-08T00:00:00Z,https://www.ice.gov/coronavirus,NA
River Correctional Center,Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Concordia Parish,LaSalle Corrections,NA,5,7,NA,None reported yet,NA,NA,NA,2020-06-24T00:00:00Z,https://www.ice.gov/coronavirus,NA
Winn Correctional Center,Louisiana,DHS/ICE,New Orleans,Non ICE-dedicated,Winn Parish,LaSalle Corrections,NA,10,131,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Bergen County Jail,New Jersey,DHS/ICE,New York City,Non ICE-dedicated,Bergen County,NA,NA,0,2,NA,1,NA,NA,NA,2020-05-04T00:00:00Z,https://www.ice.gov/coronavirus,NA
Hudson County Jail,New Jersey,DHS/ICE,New York City,Non ICE-dedicated,Hudson County,NA,NA,5,14,NA,1,NA,4,NA,2020-05-19T00:00:00Z,https://gothamist.com/news/ice-quietly-releases-hundreds-local-immigrants-covid-19; https://www.npr.org/sections/coronavirus-live-updates/2020/04/16/835886346/ice-releases-hundreds-as-coronavirus-spreads-in-detention-centers; https://www.ice.gov/coronavirus,NA
Elizabeth Detention Center,New Jersey,DHS/ICE,Newark,ICE-dedicated,Union County,CoreCivic,NA,0,18,NA,2,NA,NA,NA,2020-05-04T00:00:00Z,https://www.ice.gov/coronavirus,NA
Essex County Correctional Facility,New Jersey,DHS/ICE,Newark,Non ICE-dedicated,Essex County,NA,NA,6,8,NA,1,NA,NA,NA,2020-05-27T00:00:00Z,https://www.ice.gov/coronavirus; https://gothamist.com/news/ice-quietly-releases-hundreds-local-immigrants-covid-19,NA
Pike County Correctional Facility,Pennsylvania,DHS/ICE,Philadelphia,Non ICE-dedicated,Pike County,NA,NA,0,22,NA,None reported yet,NA,NA,NA,2020-06-26T00:00:00Z,https://www.ice.gov/coronavirus,NA
York County Prison,Pennsylvania,DHS/ICE,Philadelphia,Non ICE-dedicated,York County,NA,NA,0,1,NA,None reported yet,NA,NA,NA,2020-05-05T00:00:00Z,https://www.ice.gov/coronavirus,Sources for facility response: https://www.fox43.com/article/news/local/coronavirus-covid19-immigrants-released-york-county-prison/521-4e6beab9-c6fb-4340-9c82-307585e09bbe; https://www.yorkdispatch.com/story/news/local/2020/04/04/ice-detainee-york-county-prison-tests-positive-covid-19/2947308001/; https://www.penncapital-star.com/covid-19/ice-detainee-was-sick-with-covid-19-for-days-before-being-removed-from-york-co-jail-witnesses-claim/
Eloy Federal Contract Facility,Arizona,DHS/ICE,Phoenix,ICE-dedicated,Pinal County,CoreCivic,4,116,250,128,1,NA,1,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,https://www.azcentral.com/story/news/politics/immigration/2020/06/15/coronavirus-cases-arizona-eloy-detention-center-guard-covid-19-deaths/3193118001/
Florence Detention Center,Arizona,DHS/ICE,Phoenix,ICE-dedicated,Pinal County,CoreCivic,15,4,36,NA,1,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
La Palma Correctional Facility,Arizona,DHS/ICE,Phoenix,ICE-dedicated,Pinal County,CoreCivic,78,8,100,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,"https://www.ice.gov/coronavirus
https://kvoa.com/news/local-news/2020/06/05/nearly-100-confirmed-cases-of-covid-19-reported-at-arizona-ice-detention-centers/",NA
Nevada Southern Detention Center,Nevada,DHS/ICE,Salt Lake City,Non ICE-dedicated,Nye County,NA,NA,8,8,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Nye County Jail,Utah,NA,Salt Lake City,NA,NA,NA,NA,26,26,NA,NA,NA,NA,NA,2020-07-10T00:00:00Z,NA,NA
Washington County Jail,Utah,NA,Salt Lake City,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2020-07-10T00:00:00Z,NA,NA
El Valle Detention Facility,Texas,DHS/ICE,San Antonio,NA,Bexar,NA,NA,2,2,NA,NA,NA,NA,NA,2020-07-07T00:00:00Z,NA,NA
Karnes County Residential Center,Texas,NA,San Antonio,NA,NA,NA,NA,26,37,NA,NA,NA,NA,NA,2020-07-10T00:00:00Z,NA,NA
Port Isabel Service Processing Center,Texas,DHS/ICE,San Antonio,ICE-dedicated,Cameron County,Ahtna Support and Training Services,216,6,84,NA,0,NA,NA,NA,2020-07-10T00:00:00Z,"https://www.texasobserver.org/ice-immigrant-detention-centers-coronavirus-positive/
https://www.brownsvilleherald.com/2020/06/05/covid-19-cases-continue-rise-port-isabel-detention-center/",NA
South Texas ICE Processing Center,Texas,DHS/ICE,San Antonio,ICE-dedicated,Frio County,GeoGroup,NA,26,73,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Webb County Detention Center,Texas,NA,San Antonio,NA,Webb County,CoreCivic,NA,8,9,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Imperial Regional Detention Facility,California,DHS/ICE,San Diego,ICE-dedicated,Imperial,MTC,NA,0,2,NA,None reported yet,NA,NA,NA,2020-06-17T00:00:00Z,https://www.ice.gov/coronavirus,NA
Otay Mesa Detention Center,California,DHS/ICE,San Diego,ICE-dedicated,San Diego County,CoreCivic,167,4,168,NA,11,1,NA,NA,2020-07-07T00:00:00Z,"https://www.ice.gov/coronavirus; https://www.latimes.com/california/story/2020-05-06/first-ice-detainee-dies-coronavirus-otay-mesa-detention-center?fbclid=IwAR3gwwlIdG22z5McSitqdEUbvRcSVf63j3u9mV-oWEJkOOreFpUWD08E-m8; https://www.sandiegouniontribune.com/news/watchdog/story/2020-04-30/guards-sue-corecivic-over-allegedly-dangerous-workplace-amid-covid-19?fbclid=IwAR2gnwEE4YyhKN5-LzLVRcqA0PeAF-iB0GyMATWFo58XjpZYXbHIcaWuosw
https://theintercept.com/2020/05/24/ice-detention-coronavirus-death/",NA
San Luis Regional Detention Center,California,DHS/ICE,San Diego,Non ICE-dedicated,NA,LaSalle Corrections,NA,2,7,NA,NA,NA,NA,NA,2020-07-07T00:00:00Z,NA,NA
Tacoma ICE Processing Center/Northwest Detention Center,Washington,DHS/ICE,Seattle,ICE-dedicated,Pierce County,GeoGroup,NA,2,5,NA,None reported yet,NA,NA,NA,2020-06-26T00:00:00Z,https://www.kuow.org/stories/recovered-positive-at-tacoma-immigration-center,NA
Polk County Jail,Iowa,NA,St. Paul,NA,Polk County,NA,NA,1,12,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Caroline Detention Facility,Virginia,DHS/ICE,Washington D.C.,ICE-dedicated,Caroline County,NA,NA,0,3,NA,None reported yet,NA,NA,NA,2020-05-08T00:00:00Z,https://www.ice.gov/coronavirus,NA
Farmville Detention Center/Immigration Centers of America,Virginia,DHS/ICE,Washington D.C.,ICE-dedicated,Prince Edward County,NA,NA,102,106,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
South Louisiana Correctional Center,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
106,Idaho,DHS/ICE,NA,Non ICE-dedicated,Ada County,Ada County Sheriff's Office,NA,NA,1,NA,None reported yet,NA,NA,NA,2020-05-01T00:00:00Z,NA,NA
Adams County Jail,Colorado,DHS/ICE,NA,Non ICE-dedicated,Adams County,NA,NA,0,35,NA,None reported yet,NA,NA,On-site jail visits discontinued until further notice.,2020-07-07T00:00:00Z,NA,Sources for facility response: https://www.adamssheriff.org/coronavirus-community-resources
Butler County Jail,Ohio,DHS/ICE,NA,Non ICE-dedicated,Butler County,NA,NA,NA,None reported yet,NA,1,NA,NA,NA,2020-05-01T00:00:00Z,https://www.ice.gov/coronavirus,NA
CCA Florence Correctional Center,Arizona,DHS/ICE,NA,NA,Maricopa County,CoreCivic,NA,4,11,NA,NA,NA,NA,NA,2020-06-19T00:00:00Z,NA,NA
Central Arizona Detention Center,Arizona,DHS/ICE,NA,Non ICE-dedicated,Pinal County,CoreCivic,NA,NA,None reported yet,NA,None reported yet,NA,NA,NA,2020-05-01T00:00:00Z,NA,NA
Denver Contract Detention Facility,Colorado,DHS/ICE,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,2020-05-31T00:00:00Z,NA,NA
Federal Correctional Institute (FCI),Arizona,DHS/ICE,NA,Non ICE-dedicated,Maricopa County,BOP,NA,NA,None reported yet,NA,None reported yet,NA,NA,NA,2020-05-01T00:00:00Z,NA,NA
"Florence Services Processing Center
(Florence Staging Facility)",Arizona,DHS/ICE,NA,ICE-dedicated,Pinal County,NA,NA,NA,None reported yet,NA,None reported yet,1,NA,NA,2020-05-01T00:00:00Z,http://www.tucsonsentinel.com/local/report/040519_ice_detainee_death/man-dies-immigration-detention-facility-florence/,Death reported from a presumptively positive case
Mesa Verde ICE Processing Facility,Califorina,DHS/ICE,NA,ICE-dedicated,NA,NA,NA,1,1,1,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.davisvanguard.org/2020/06/ice-confirms-medical-provider-at-mesa-verde-detention-center-tests-positive-for-covid-19/,"Heartbreaking: a 75 year old man with a variety of health conditions was considered too dangerous to release (he was awaiting deportation after serving his sentence for attempted murder). He was put in isolation after a trip to the hospital, and was left unsupervised despite a history of suicide attempts. He died of apparent suicide. https://www.latimes.com/california/story/2020-05-20/immigrant-ice-detention-suicide-coronavirus Hunger strike: https://www.bakersfield.com/news/100-immigrant-detainees-hold-hunger-strike-at-mesa-verde-in-response-to-covid-19-measures/article_4bc2c88e-7b88-11ea-bf82-c3fcec598e57.html Facility response sources: https://www.nbcbayarea.com/investigations/covid-19-outbreaks-may-arise-from-immigrant-detention-centers-doctors-say/2289775/; https://www.latimes.com/california/story/2020-05-20/immigrant-ice-detention-suicide-coronavirus; https://www.bakersfield.com/news/advocates-say-ice-has-released-nearly-all-women-from-mesa-verde/article_09926498-917b-11ea-9352-034bf1e2890b.html"
Santa Ana City Jail,Califorina,DHS/ICE,NA,Non ICE-dedicated,Orange County,City of Santa Ana,NA,NA,None reported yet,NA,None reported yet,NA,NA,NA,2020-05-01T00:00:00Z,NA,NA
Sherburne County Jail,Minnesota,DHS/ICE,NA,Non ICE-dedicated,Sherburne County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,started hunger strike https://peoplesworld.org/article/while-minneapolis-burned-immigrant-prisoners-in-sherburne-county-jail-started-hunger-strike/
T. Don Hutto Residential Center,Texas,DHS/ICE,NA,NA,NA,CoreCivic,NA,1,1,NA,1,NA,NA,NA,2020-06-09T00:00:00Z,NA,NA
Yuba County Jail,Califorina,DHS/ICE,NA,Non ICE-dedicated,Yuba County,Yuba County Sheriff's Department,NA,NA,None reported yet,NA,None reported yet,NA,NA,"As of 3/23/2020, suspended visitation (still allow legal representation visits).",2020-05-01T00:00:00Z,NA,Sources for facility response: https://www.davisvanguard.org/2020/04/guest-commentary-recipe-for-disaster-unmasking-yuba-county-jails-response-to-covid-19/#
